Question,Type,Options,Answer
"How many years' experience do you have as a Full Stack Developer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Kualifikasi mana yang kamu miliki?","","Sekolah Dasar atau sederajat | SMP atau sederajat | SMA/SMK atau sederajat | Diploma 1 | Diploma 2 | Diploma 3 | Diploma 4 | Sarjana (S1) | Program Pendidikan Profesi | Magister (S2) | Doktor (S3) | Saya memiliki kualifikasi yang tidak ada dalam daftar",""
"Berapa tahun pengalaman kerjamu sebagai programmer?","","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"How many years' experience do you have as a PostgreSQL Administrator?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"What's your expected monthly basic salary?","","Rp 1 million | Rp 1.5 million | Rp 2 million | Rp 2.5 million | Rp 3 million | Rp 3.5 million | Rp 4 million | Rp 4.5 million | Rp 5 million | Rp 5.5 million | Rp 6 million | Rp 7 million | Rp 8 million | Rp 9 million | Rp 10 million | Rp 15 million | Rp 20 million | Rp 25 million | Rp 30 million | Rp 40 million | Rp 60 million | Rp 80 million | Rp 100 million or more",""
"Which of the following types of qualifications do you have?","","Elementary school (SD) or equivalent | SMP or equivalent | SMA/SMK or equivalent | Diploma 1 | Diploma 2 | Diploma 3 | Diploma 4 | Bachelor Degree (S1) | Professional Education Program | Masters Degree (S2) | Doctoral Degree (S3) | I have a qualification that is not listed here",""
"How many years' experience do you have in a software development role?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a java developer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Which of the following statements best describes your right to work in Indonesia?",""," | I'm an Indonesian citizen | I have an Employment pass/Work permit | I have an Indonesian residence permit (KITAS/KITAP) | I have a Business Visa | I have an ABTC (APEC Business Travel Card) | I require sponsorship to work for a new employer in Indonesia",""
"How many years' experience do you have as a Backend Developer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years of Back-End Development experience do you have?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Golang Backend Developer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Berapa gaji bulanan yang kamu inginkan?","","Rp 1 Jt | Rp 1.5 Jt | Rp 2 Jt | Rp 2.5 Jt | Rp 3 Jt | Rp 3.5 Jt | Rp 4 Jt | Rp 4.5 Jt | Rp 5 Jt | Rp 5.5 Jt | Rp 6 Jt | Rp 7 Jt | Rp 8 Jt | Rp 9 Jt | Rp 10 Jt | Rp 15 Jt | Rp 20 Jt | Rp 25 Jt | Rp 30 Jt | Rp 40 Jt | Rp 60 Jt | Rp 80 Jt | Rp 100 Jt atau lebih",""
"Berapa tahun pengalaman kerjamu sebagai pengembang .net?",""," | Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"Berapa tahun pengalaman kerjamu di bidang pengembangan software?","","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"Berapa tahun pengalaman kerjamu menggunakan query SQL?","","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"Pernyataan mana di bawah ini yang paling mendeskripsikan hakmu bekerja di Indonesia?",""," | Saya adalah warga negara Indonesia | Saya memiliki izin Ketenagakerjaan/Kerja | Saya memiliki izin tinggal Indonesia (KITAS/KITAP) | Saya memiliki Visa Bisnis | Saya memiliki ABTC (APEC Business Travel Card) | Saya membutuhkan sponsor untuk bekerja pada perusahaan baru di Indonesia",""
"How many years' experience do you have as a web developer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have using SQL queries?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Berapa tahun pengalaman kerjamu sebagai software engineer?","","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"How many years' experience do you have as an IT System Executive?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Golang Engineer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a PHP Engineer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Python Engineer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as an Information Technology Developer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Berapa tahun pengalaman kerjamu sebagai Pengawas Pembangunan?",""," | Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun",""
"How many years' experience do you have as a Microservices Developer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Backend Team Leader?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a COBOL Developer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Full Stack Software Engineer?","","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Spring Boot Developer?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"How many years' experience do you have as a Sales and Marketing Staff?",""," | No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years",""
"Select options","checklist","Make this my default resumé",""
"Profile (4).pdf","radiobutton","Profile (4).pdf | Yoga Adi Saputra - Full Stack Developer - Glints TapLoker.pdf | Don't include a resumé",""
"Select one option","radiobutton","Upload a cover letter | Write a cover letter | Don't include a cover letter",""
"Alat kontrol revisi apa saja di bawah ini yang bisa kamu gunakan?","checklist","IBM ClearCase | Apache Subversion (SVN) | TFS | GIT | Mercurial | CVS | Perforce | AccuRev | Tidak satupun",""
"Bahasa pemrograman apa saja di bawah ini yang bisa kamu gunakan?","checklist",".NET | C | C# | C++ | CSS | HTML | Java | JavaScript | Objective-C | PHP | Python | Ruby | Swift | Visual Basic | Tidak satupun",""
"Library/framework front end apa saja di bawah ini yang bisa kamu gunakan?","checklist","Backbone.js | Angular.js | D3.js | LESS | React.js | Bootstrap | Durandal | CanJS | jQuery | Ext JS | Node.js | SASS | Ember.js | Knockout | Tidak satupun",""
